team,rank
Spain,1
Argentina,2
France,3
England,4
Brazil,5
Portugal,6
Netherlands,7
Belgium,8
Germany,9
Croatia,10
Morocco,11
Italy,12
Colombia,13
United States,14
Mexico,15
Uruguay,16
Switzerland,17
Japan,18
Senegal,19
Iran,20
Denmark,21
South Korea,22
Ecuador,23
Austria,24
Türkiye,25
Australia,26
Canada,27
Ukraine,28
Norway,29
Panama,30
Poland,31
Wales,32
Russia,33
Egypt,34
Algeria,35
Scotland,36
Serbia,37
Nigeria,38
Paraguay,39
Tunisia,40
Hungary,41
Ivory Coast,42
Sweden,43
Czechia,44
Slovakia,45
Greece,46
Romania,47
Venezuela,48
Costa Rica,49
Uzbekistan,50
Qatar,51
Peru,52
Chile,53
Mali,54
Slovenia,55
Congo DR,56
Cameroon,57
Iraq,58
Ireland,59
Saudi Arabia,60
South Africa,61
Burkina Faso,62
Albania,63
Honduras,64
North Macedonia,65
Jordan,66
United Arab Emirates,67
Cape Verde,68
Northern Ireland,69
Jamaica,70
Bosnia and Herzegovina,71
Ghana,72
Georgia,73
Iceland,74
Finland,75
Bolivia,76
Israel,77
Gabon,78
Oman,79
Kosovo,80
Guinea,81
Curaçao,82
Montenegro,83
Haiti,84
Uganda,85
New Zealand,86
Syria,87
Bulgaria,88
Angola,89
Zambia,90
Bahrain,91
Benin,92
China PR,93
Guatemala,94
Thailand,95
Palestine,96
Equatorial Guinea,97
Trinidad and Tobago,98
Belarus,99
El Salvador,100
Tajikistan,101
Mozambique,102
Luxembourg,103
Kyrgyz Republic,104
Madagascar,105
Armenia,106
Lebanon,107
Comoros,108
Niger,109
Vietnam,110
Libya,111
Tanzania,112
Kenya,113
Mauritania,114
Kazakhstan,115
Malaysia,116
The Gambia,117
Sudan,118
Namibia,119
Korea DPR,120
Sierra Leone,121
Indonesia,122
Suriname,123
Togo,124
Faroe Islands,125
Malawi,126
Azerbaijan,127
Cyprus,128
Zimbabwe,129
Estonia,130
Rwanda,131
Nicaragua,132
Guinea-Bissau,133
Congo,134
Kuwait,135
Philippines,136
Turkmenistan,137
Botswana,138
Central African Republic,139
Latvia,140
Liberia,141
India,142
Dominican Republic,143
Lesotho,144
Burundi,145
Lithuania,146
Ethiopia,147
Yemen,148
New Caledonia,149
Guyana,150
Singapore,151
Solomon Islands,152
"Hong Kong, China",153
St Kitts and Nevis,154
Fiji,155
Puerto Rico,156
Tahiti,157
Moldova,158
Eswatini,159
Vanuatu,160
Malta,161
Afghanistan,162
Myanmar,163
Grenada,164
Antigua and Barbuda,165
Cuba,166
St Lucia,167
South Sudan,168
Bermuda,169
Papua New Guinea,170
St Vincent and the Grenadines,171
Andorra,172
Maldives,173
Chinese Taipei,174
Montserrat,175
Mauritius,176
Chad,177
Barbados,178
Cambodia,179
Bangladesh,180
Belize,181
Nepal,182
Dominica,183
American Samoa,184
Mongolia,185
Cook Islands,186
Laos,187
Samoa,188
Brunei Darussalam,189
São Tomé and Príncipe,190
Aruba,191
Bhutan,192
Macau,193
Sri Lanka,194
Cayman Islands,195
Djibouti,196
Tonga,197
Timor-Leste,198
Pakistan,199
Somalia,200
Guam,201
Gibraltar,202
Seychelles,203
Turks and Caicos Islands,204
Liechtenstein,205
Bahamas,206
US Virgin Islands,207
British Virgin Islands,208
Anguilla,209
San Marino,210
