match,home,away,date,time (est),stadium,location
1,A1,A2,2026-06-11,15:00,Estadio Azteca,Mexico City
2,A3,A4,2026-06-11,18:00,Estadio Akron,Guadalajara
3,B1,B2,2026-06-12,15:00,BMO Field,Toronto
4,D1,D2,2026-06-12,18:00,SoFi Stadium,Los Angeles
5,C1,C2,2026-06-13,12:00,Gillette Stadium,Boston
6,D3,D4,2026-06-13,15:00,BC Place,Vancouver
7,C3,C4,2026-06-13,18:00,MetLife Stadium,New York
8,B3,B4,2026-06-13,21:00,Levi's Stadium,San Francisco
9,E1,E2,2026-06-14,12:00,Lincoln Financial Field,Philadelphia
10,E3,E4,2026-06-14,15:00,NRG Stadium,Houston
11,F1,F2,2026-06-14,18:00,AT&T Stadium,Dallas
12,F3,F4,2026-06-14,21:00,Estadio BBVA,Monterrey
13,H1,H2,2026-06-15,12:00,Hard Rock Stadium,Miami
14,H3,H4,2026-06-15,15:00,Mercedes-Benz Stadium,Atlanta
15,G1,G2,2026-06-15,18:00,SoFi Stadium,Los Angeles
16,G3,G4,2026-06-15,21:00,Lumen Field,Seattle
17,I1,I2,2026-06-16,12:00,MetLife Stadium,New York
18,I3,I4,2026-06-16,15:00,Gillette Stadium,Boston
19,J1,J2,2026-06-16,18:00,Arrowhead Stadium,Kansas City
20,J3,J4,2026-06-16,21:00,Levi's Stadium,San Francisco
21,L1,L2,2026-06-17,12:00,BMO Field,Toronto
22,L3,L4,2026-06-17,15:00,AT&T Stadium,Dallas
23,K1,K2,2026-06-17,18:00,NRG Stadium,Houston
24,K3,K4,2026-06-17,21:00,Estadio Azteca,Mexico City
25,A4,A2,2026-06-18,12:00,Mercedes-Benz Stadium,Atlanta
26,B4,B2,2026-06-18,15:00,SoFi Stadium,Los Angeles
27,B1,B3,2026-06-18,18:00,BC Place,Vancouver
28,A1,A3,2026-06-18,21:00,Estadio Akron,Guadalajara
29,C4,C2,2026-06-19,12:00,Lincoln Financial Field,Philadelphia
30,C1,C3,2026-06-19,15:00,Gillette Stadium,Boston
31,D4,D2,2026-06-19,18:00,Levi's Stadium,San Francisco
32,D1,D3,2026-06-19,21:00,Lumen Field,Seattle
33,E4,E2,2026-06-20,12:00,BMO Field,Toronto
